iter	Passed	Remaining
1281	719572	2086872
1282	720197	2086496
1283	720750	2085909
1284	721625	2086257
1285	722179	2085671
1286	722955	2085728
1287	723699	2085691
1288	724174	2084879
1289	724839	2084616
1290	725790	2085171
1291	726056	2083758
1292	726421	2082632
1293	727148	2082544
1294	728128	2083177
1295	728928	2083296
1296	729534	2082856
1297	729815	2081492
1298	730654	2081717
1299	731296	2081382
1300	731760	2080539
1301	732482	2080429
1302	733547	2081291
1303	734567	2082024
1304	735740	2083189
1305	736480	2083122
1306	736985	2082393
1307	737866	2082723
1308	738773	2083128
1309	739519	2083075
1310	740196	2082825
1311	740862	2082545
1312	741404	2081919
1313	742041	2081555
1314	742896	2081805
1315	743601	2081633
1316	744156	2081038
1317	744698	2080409
1318	745269	2079861
1319	746196	2080306
1320	747004	2080414
1321	747815	2080532
1322	748722	2080916
1323	749718	2081544
1324	750558	2081738
1325	751138	2081208
1326	751682	2080580
1327	752371	2080351
1328	753051	2080098
1329	753459	2079095
1330	753880	2078128
1331	754862	2078706
1332	755500	2078334
1333	756170	2078050
1334	756779	2077600
1335	757865	2078456
1336	758617	2078395
1337	759149	2077732
1338	760083	2078165
1339	760857	2078163
1340	761359	2077414
1341	762190	2077565
1342	763089	2077897
1343	763605	2077188
1344	764342	2077079
1345	765248	2077427
1346	765786	2076777
1347	766505	2076616
1348	767214	2076425
1349	768056	2076598
1350	768691	2076207
1351	769237	2075576
1352	769902	2075264
1353	770645	2075165
1354	771402	2075101
1355	771984	2074566
1356	772438	2073686
1357	773340	2074011
1358	773875	2073348
1359	774770	2073650
1360	775611	2073805
1361	777080	2075638
1362	777674	2075129
1363	778345	2074827
1364	778829	2074024
1365	779694	2074238
1366	780426	2074096
1367	781706	2075407
1368	782244	2074748
1369	782633	2073693
1370	783458	2073792
1371	784133	2073496
1372	785076	2073906
1373	785524	2073007
1374	786380	2073183
1375	786814	2072250
1376	787563	2072144
1377	788223	2071804
1378	789099	2072029
1379	789941	2072166
1380	790448	2071421
1381	790725	2070074
1382	791289	2069482
1383	792077	2069474
1384	793047	2069939
1385	793605	2069330
1386	794381	2069286
1387	794874	2068507
1388	795707	2068609
1389	796266	2068001
1390	797272	2068551
1391	797697	2067595
1392	798382	2067312
1393	799223	2067431
1394	799593	2066333
1395	800364	2066269
1396	801016	2065900
1397	801978	2066328
1398	802387	2065331
1399	803277	2065571
1400	804083	2065594
1401	804913	2065676
1402	805842	2066012
1403	806418	2065442
1404	807233	2065482
1405	807907	2065163
1406	808538	2064731
1407	809214	2064415
